iteration,score,best_score,n_estimators,max_depth,min_samples_split,min_samples_leaf
1,0.9529633896569382,0.9529633896569382,10,3.0,5,2
2,0.9664230631972569,0.9664230631972569,50,7.0,10,1
3,0.9598927743140268,0.9664230631972569,100,,5,2
4,0.9532029725578113,0.9664230631972569,10,3.0,2,2
5,0.9664230631972569,0.9664230631972569,100,,5,1
6,0.9664230631972569,0.9664230631972569,200,,2,1
7,0.9665890250962991,0.9665890250962991,50,5.0,2,4
8,0.9533398501140438,0.9665890250962991,200,7.0,2,2
9,0.9664230631972569,0.9665890250962991,100,10.0,2,1
10,0.9533398501140438,0.9665890250962991,200,10.0,5,2
11,0.9665890250962991,0.9665890250962991,50,7.0,2,4
12,0.9665890250962991,0.9665890250962991,50,,10,4
13,0.9463297206576778,0.9665890250962991,10,10.0,5,4
14,0.9731193139795291,0.9731193139795291,50,10.0,5,2
15,0.9529633896569382,0.9731193139795291,10,,2,1
16,0.960036100896316,0.9731193139795291,100,7.0,10,4
17,0.9731193139795291,0.9731193139795291,50,,2,2
18,0.9731193139795291,0.9731193139795291,50,3.0,10,2
19,0.9533398501140438,0.9731193139795291,200,3.0,5,4
20,0.9464558539827358,0.9731193139795291,10,10.0,2,2
21,0.9731193139795291,0.9731193139795291,50,3.0,5,2
22,0.9598927743140268,0.9731193139795291,100,3.0,10,1
23,0.9731193139795291,0.9731193139795291,50,3.0,5,1
24,0.9533398501140438,0.9731193139795291,200,3.0,5,2
25,0.9664230631972569,0.9731193139795291,50,,5,1
26,0.9664230631972569,0.9731193139795291,200,3.0,10,1
27,0.9664230631972569,0.9731193139795291,50,3.0,2,1
28,0.9731193139795291,0.9731193139795291,50,3.0,2,2
29,0.9598674655047205,0.9731193139795291,50,3.0,5,4
30,0.9731193139795291,0.9731193139795291,50,7.0,5,2
31,0.9731193139795291,0.9731193139795291,50,5.0,10,2
32,0.9598473857882461,0.9731193139795291,10,3.0,5,1
33,0.9731193139795291,0.9731193139795291,50,10.0,10,2
34,0.9533398501140438,0.9731193139795291,100,3.0,10,2
35,0.9731193139795291,0.9731193139795291,50,7.0,2,2
36,0.9731193139795291,0.9731193139795291,50,,5,2
37,0.9731193139795291,0.9731193139795291,50,5.0,5,2
38,0.9466182905224652,0.9731193139795291,100,3.0,2,4
39,0.9664230631972569,0.9731193139795291,50,3.0,10,1
40,0.9531630991703731,0.9731193139795291,10,3.0,10,4
41,0.9664230631972569,0.9731193139795291,200,3.0,5,1
42,0.9533398501140438,0.9731193139795291,200,,10,4
43,0.9665890250962991,0.9731193139795291,50,10.0,5,4
44,0.9664230631972569,0.9731193139795291,200,10.0,5,1
45,0.9598927743140268,0.9731193139795291,100,5.0,5,4
46,0.9731193139795291,0.9731193139795291,50,10.0,2,2
47,0.9598473857882461,0.9731193139795291,10,3.0,10,1
48,0.9529633896569382,0.9731193139795291,10,10.0,5,1
49,0.9598674655047205,0.9731193139795291,50,3.0,2,4
50,0.9533398501140438,0.9731193139795291,100,3.0,5,2
